title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
Arashi's Diary: Voyage,SHOW,2019,TV-Y7,31,documentation,['JP'],1.0,tt11434874,7.7,42.0
Arashi's Diary: Voyage,SHOW,2019,TV-Y7,31,music,['JP'],1.0,tt11434874,7.7,42.0
True: Friendship Day,MOVIE,2020,Not Available,23,animation,['CA'],0.0,tt12855976,6.8,22.0
True: Friendship Day,MOVIE,2020,Not Available,23,family,['CA'],0.0,tt12855976,6.8,22.0
"Hello, Privilege. It's Me, Chelsea",MOVIE,2019,Not Available,64,documentation,['US'],0.0,tt10847138,4.5,1972.0
Go! Go! Cory Carson: The Chrissy,MOVIE,2020,G,42,animation,"['JP', 'US', 'FR']",0.0,Not Available,6.6,2279.0
Maradona's Legs,MOVIE,2019,Not Available,24,drama,"['AF', 'DE', 'PS']",0.0,Not Available,6.6,2279.0
Bombay Rose,MOVIE,2019,PG-13,97,romance,"['FR', 'IN', 'QA']",0.0,tt8435324,6.2,608.0
Bombay Rose,MOVIE,2019,PG-13,97,animation,"['FR', 'IN', 'QA']",0.0,tt8435324,6.2,608.0
Bombay Rose,MOVIE,2019,PG-13,97,drama,"['FR', 'IN', 'QA']",0.0,tt8435324,6.2,608.0
Thottappan,MOVIE,2019,Not Available,140,drama,['IN'],0.0,tt9448362,6.9,366.0
Luccas Neto em: Uma Babá Muito Esquisita,MOVIE,2019,Not Available,75,comedy,['BR'],0.0,tt14706806,3.0,36.0
Luccas Neto em: Uma Babá Muito Esquisita,MOVIE,2019,Not Available,75,family,['BR'],0.0,tt14706806,3.0,36.0
I'm Leaving Now,MOVIE,2019,Not Available,74,documentation,"['MX', 'US']",0.0,tt6541924,6.5,108.0
I'm Leaving Now,MOVIE,2019,Not Available,74,european,"['MX', 'US']",0.0,tt6541924,6.5,108.0
Spirit Riding Free: Ride Along Adventure,MOVIE,2020,Not Available,22,animation,['US'],0.0,tt13453940,5.9,60.0
Spirit Riding Free: Ride Along Adventure,MOVIE,2020,Not Available,22,action,['US'],0.0,tt13453940,5.9,60.0
Spirit Riding Free: Ride Along Adventure,MOVIE,2020,Not Available,22,drama,['US'],0.0,tt13453940,5.9,60.0
Spirit Riding Free: Ride Along Adventure,MOVIE,2020,Not Available,22,family,['US'],0.0,tt13453940,5.9,60.0
Spirit Riding Free: Ride Along Adventure,MOVIE,2020,Not Available,22,western,['US'],0.0,tt13453940,5.9,60.0
Spirit Riding Free: Ride Along Adventure,MOVIE,2020,Not Available,22,comedy,['US'],0.0,tt13453940,5.9,60.0
Encounters,SHOW,2019,TV-PG,22,comedy,[],1.0,tt11210142,6.6,2279.0
El límite infinito,MOVIE,2020,Not Available,47,documentation,['AR'],0.0,Not Available,6.6,2279.0
Fan Girl,MOVIE,2020,Not Available,100,drama,['PH'],0.0,tt11091664,6.7,366.0
122,MOVIE,2019,R,95,horror,['EG'],0.0,tt7867670,6.2,5530.0
122,MOVIE,2019,R,95,thriller,['EG'],0.0,tt7867670,6.2,5530.0
A Trash Truck Christmas,MOVIE,2020,G,28,animation,['US'],0.0,tt13458584,5.5,212.0
A Trash Truck Christmas,MOVIE,2020,G,28,comedy,['US'],0.0,tt13458584,5.5,212.0
A Trash Truck Christmas,MOVIE,2020,G,28,family,['US'],0.0,tt13458584,5.5,212.0
Lugar de Mulher,SHOW,2019,Not Available,15,comedy,['BR'],1.0,tt11215186,4.7,35.0
Mighty Little Bheem: Festival of Colors,SHOW,2020,Not Available,6,animation,[],1.0,tt11738790,7.2,37.0
Mighty Little Bheem: Festival of Colors,SHOW,2020,Not Available,6,comedy,[],1.0,tt11738790,7.2,37.0
"Yours Sincerely, Kanan Gill",MOVIE,2020,Not Available,72,comedy,['IN'],0.0,tt12055392,7.2,948.0
The Zoya Factor,MOVIE,2019,Not Available,134,romance,['IN'],0.0,tt8304386,4.2,2378.0
The Zoya Factor,MOVIE,2019,Not Available,134,sport,['IN'],0.0,tt8304386,4.2,2378.0
The Zoya Factor,MOVIE,2019,Not Available,134,comedy,['IN'],0.0,tt8304386,4.2,2378.0
The Zoya Factor,MOVIE,2019,Not Available,134,drama,['IN'],0.0,tt8304386,4.2,2378.0
Mere Pyare Prime Minister,MOVIE,2019,Not Available,104,drama,['IN'],0.0,tt8207768,6.8,635.0
Daniel Sosa: Maleducado,MOVIE,2019,Not Available,54,comedy,[],0.0,tt10438652,6.1,71.0
A Thousand Goodnights,SHOW,2019,Not Available,84,drama,['TW'],1.0,tt10370952,8.0,93.0
Red Snow,MOVIE,2019,Not Available,100,drama,['CA'],0.0,tt6670074,4.6,154.0
Ibrahim: A Fate to Define,MOVIE,2019,Not Available,75,documentation,"['PS', 'DK', 'LB']",0.0,tt10777716,7.5,29.0
To Be of Service,MOVIE,2019,Not Available,88,documentation,['US'],0.0,tt10413458,7.3,90.0
